Author First Name,Author Last Name,Title,Series,Series Number
 Alexa & Davitt,Snow,Waking the Dead,Ghost,3
 Alexander,McCall Smith,The Unbearable Lightness of Scones,44 Scotland Street,5
 Alexander,Kent,Success to the Brave,Bolitho,17
 Alexander,Waugh,The House of Wittgenstein: A Family at War,,1
 Alexander & Madison,Hamilton,The Federalist papers,,1
 Alexander McCall,Smith,Corduroy Mansions,Corduroy Mansions,1
 Alexander Mccall,Smith,The No. 1 Ladies' Detective Agency,The No. 1 Ladies' Detective Agency,1
 Alexander McCall,Smith,Tea Time for the Traditionally Built,The No. 1 Ladies' Detective Agency,10
 Alexander McCall,Smith,The Double Comfort Safari Club,The No. 1 Ladies' Detective Agency,11
 Alexander McCall,Smith,Folktales from Africa: the Baboons who went this way and that,,1
 Alexander McCall,Smith,La's Orchestra Saves the World,,1
 Alexandra,Ivy,When Darkness Comes,Guardians of Eternity,1
 Alexandra,Ivy,Embrace the Darkness,Guardians of Eternity,2
 Alexandra,Ivy,Darkness Everlasting,Guardians of Eternity,3
 Alexandra,Ivy,Darkness Revealed,Guardians of Eternity,4
 Alexandra,Ivy,Darkness Unleashed,Guardians of Eternity,5
 Alexandra,Adornetto,Halo,Halo YA series,1
 Alexandra,Sokoloff,Book of Shadows,,1
 Alexandra,Benedict,The Notorious Scoundrel,,1
 Alexandra,Sokoloff,The Unseen,,1
 Alexandra,Potter,You're the One That I Don't Want,,1
 Alexandre,Dumas,Louise de la Valliere,D'Artagnan Romances,4
 Alexandre,Dumas,The Man in the Iron Mask,D'Artagnan Romances,5
 Alexandre,Dumas,Man in the Iron Mask,,1
 Alexandre,Dumas,The Count of Monte Cristo (Abridged B&N),,1
 Alexandre,Dumas,The Count of Monte Cristo (Unabridged Penguin),,1
 Alexandre,Dumas,The Three Musketeers,,1
 Alexandre,Dumas,Twenty Years After,,1
 Alexey,Pehov,Shadow Prowler,Chronicles of Siala,1
 Alfred,Bester,The demolished man,,1
 Alfred,Bester,The stars my destination,,1
 Alfredo,Véa,Gods go begging,,1
 Ali,Eteraz,Children of Dust: A Memoir of Pakistan,,1
 Ali,Smith,The First Person: And Other Stories,,1
 Alice,Sebold,The Lovely Bones,,1
 Alisa,Sheckley,The Better to Hold You,Abra Barrow,1
 Alisa,Sheckley,Moonburn,Abra Barrow,2
 Alisa M.,Libby,The King's Rose,,1
 Alison,Sinclair,Darkborn,Darkborn,1
 Alison,Weir,Children of Henry VIII,,1
 Alison,Weir,"Eleanor of Aquitaine: by the wrath of God, Queen of England",,1
 Alison,Baverstock,How to Get a Job in a Museum Or Art Gallery,,1
 Alison,Weir,The Lady Elizabeth,,1
 Alison,Weir,The Lady in the Tower: The Fall of Anne Boleyn,,1
 Alison,Weir,The princes in the tower,,1
 Alissa,Johnson,Destined to Last,,1
 Allan,Cole,Wizard of the Winds,The Timura Trilogy,1
 Allan & Bunch,Cole,The Warrior's Tale,The Far Kingdoms,2
 Allen,Ginsberg,Reality sandwiches,,0
 Allison,McKenna,Sharae and Melissa,Slave Girls Trilogy,1
 Ally,Blake,Dating the Rebel Tycoon,,1
 Alton,Gansky,The incumbent,Madison Glenn,1
 Alyssa,Day,Atlantis Betrayed,The Warriors of Poseidon,6
 Amanda,Downum,The Drowning City,The Necromancer Chronicles,1
 Amanda,Downum,The Bone Palace,The Necromancer Chronicles,2
 Amulya,Malladi,The Mango Season,,1
 Amy,Tan,The Joy Luck Club,,1
 Amy,Stewart,Wicked Plants,,1
 Andrea,Gillies,"Keeper: One House, Three Generations, and a Journey Into Alzheimer's",,1
 Andrea,Levy,The Long Song,,1
 Andrew,Cartmel,Consequences,Torchwood,15
 Andrew,Vachss,The Weight,,1
 Andrew,Rosenheim,Without prejudice,,1
 Andrew & Joachim,Schloss,Mastering the Grill: The Owner's Manual for Outdoor Cooking,,1
 Andrew B.,King,Website Optimization,,1
 Andrew H.,Vachss,Two Trains Running,,1
 Andy,McNab,Avenger,Boy Soldier,3
 Andy,McNab,Remote Control,Nick Stone,1
 Andy,McNab,Crisis Four,Nick Stone,2
 Andy,McNab,Firewall,Nick Stone,3
 Andy,McNab,Last Light,Nick Stone,4
 Andy,McNab,Liberation day,Nick Stone,5
 Andy,McNab,Dark Winter,Nick Stone,6
 Andy,McNab,Aggressor,Nick Stone,8
 Andy,McNab,Cross Fire,Nick Stone,10
 Andy,McNab,Brute Force,Nick Stone,11
 Andy,McNab,Exit Wound,Nick Stone,12
 Andy,McNab,Zero Hour,Nick Stone,13
 Andy,Lane,Slow Decay,Torchwood,3
 Andy,McNab,Bravo two zero,,1
 Andy,McNab,DropZone,,1
 Andy,McNab,Immediate Action,,1
 Andy,Remic,Kell's Legend: The Clockwork Vampire Chronicles,,1
 Andy,McNab,Last Night Another Soldier...,,1
 Andy,McNab,Seven Troop,,1
 Andy,McNab,Spoken from the Front,,1
 Andy,McNab,The Grey Man,,1
 Andy,Raskin,The Ramen King and I: How the Inventor of Instant Noodles Fixed My Love Life,,1
 Andy,McNab,War Torn,,1
 Andy & Hackett,Warhol,The Andy Warhol Diaries,,1
 Andy & Rigby,McNab,Boy soldier,Boy Soldier,1
 Andy & Rigby,McNab,Payback,Boy Soldier,2
 Andy & Rigby,McNab,Meltdown,Boy Soldier,4
 Angela,Knight,Burning Up,,1
 Angie,Fox,The Accidental Demon Slayer,Accidental Demon Slayer,1
 ANITA,SHREVE,A Change in Altitude,,1
 ANITA,SHREVE,Rescue,,1
 ANITA,SHREVE,Resistance: a novel,,1
 Anita,Diamant,The Red Tent,,1
 Ann,Rule,In the Still of the Night: The Strange Death of Ronda Reynolds and Her Mother's Unceasing Quest for the Truth,,1
 Ann,Brashares,My Name Is Memory,,1
 Ann,Cristy,Tread softly,,1
 Ann,Napolitano,Within Arm's Reach,,1
 Anna,McPartlin,"Alexandra, Gone",,1
 Anna,Godbersen,Bright Young Things,,1
 Anna,Whitelock,"Mary Tudor: Princess, Bastard, Queen",,1
 Anna,Quindlen,Object lessons,,1
 Anna,Davis,The Jewel Box,,1
 Annabelle,Gurwitch,"You Say Tomato, I Say Shut Up",,1
 Anne,Perry,Brunswick Gardens,Charlotte and Thomas Pitt,18
 Anne,Rice,The witching hour,Lives of the Mayfair Witches,1
 Anne,Rice,Lasher,Lives of the Mayfair Witches,2
 Anne,Rice,Taltos,Lives of the Mayfair Witches,3
 Anne,Rice,Pandora,New Tales of the Vampires,1
 Anne,Rice,"Vittorio, the vampire",New Tales of the Vampires,2
 Anne,Holt,1222,The Hanne Wilhelmsen series,8
 Anne,Stuart,Ruthless,The House of Rohan,1
 Anne,Rice,Angel Time: The Songs of the Seraphim,The Songs of the Seraphim,1
 Anne,Rice,Of Love and Evil,The Songs of the Seraphim,2
 Anne,Rice,Interview with the Vampire,Vampire Chronicles,1
 Anne,Rice,The Vampire Lestat,Vampire Chronicles,2
 Anne,Rice,The queen of the damned,Vampire Chronicles,3
 Anne,Rice,The tale of the body thief,Vampire Chronicles,4
 Anne,Rice,Memnoch the Devil,Vampire Chronicles,5
 Anne,Rice,The vampire Armand,Vampire Chronicles,6
 Anne,Rice,Merrick,Vampire Chronicles,7
 Anne,Rice,Blood and Gold,Vampire Chronicles,8
 Anne,Rice,Blackwood Farm,Vampire Chronicles,9
 Anne,Rice,Blood canticle,Vampire Chronicles,10
 Anne,Perry,The face of a stranger,William Monk novels,1
 Anne,Perry,A Dangerous Mourning,William Monk novels,2
 Anne,Perry,Defend and Betray,William Monk novels,3
 Anne,Perry,"A sudden, fearful death",William Monk novels,4
 Anne,Perry,The Sins of the Wolf,William Monk novels,5
 Anne,Perry,Cain His Brother,William Monk novels,6
 Anne,Perry,Weighed in the balance,William Monk novels,7
 Anne,Perry,The Silent Cry,William Monk novels,8
 Anne,Perry,A Breach of Promise,William Monk novels,9
 Anne,Perry,The Twisted Root,William Monk novels,10
 Anne,Perry,Funeral in Blue,William Monk novels,12
 Anne,Perry,Dark Assassin,William Monk novels,15
 Anne,Perry,Execution Dock,William Monk novels,16
 Anne,Bronte,Agnes Grey,,1
 Anne,Hampson,An eagle swooped,,1
 Anne,Hampson,Call of the veld,,1
 Anne,Rice,Cry to heaven,,1
 Anne,Michaels,Fugitive pieces,,1
 Anne,Brock,Give me liberty,,1
 Anne,Tyler,Ladder of Years: A Novel,,1
 Anne,McAllister,McGillivray's Mistress,,1
 Anne,McAllister,Nathan's Child,,1
 Anne,Tyler,Noah's Compass,,1
 Anne,Rice,Servant of the Bones,,1
 Anne,Rice,The Feast of All Saints,,1
 Anne,Enright,The gathering,,1
 Anne,McAllister,The Inconvenient Bride,,1
 Anne & Frank,Frank,The diary of a young girl: the definitive edition,,1
 Anne & Roquelaure,Rice,The claiming of Sleeping Beauty,Sleeping Beauty Trilogy,1
 Annie,Jones,Mom Over Miami,"Life, Faith and Getting It Right",5
 Annie,Burrows,The Viscount and the Virgin,,1
 Annmarie,Ortega,Dead Girl Talking,,1
 Anthony,Powell,A Question of Upbringing,Dance to the Music of Time,1
 Anthony,Powell,A buyer's market: a novel,Dance to the Music of Time,2
 Anthony,Powell,A Dance to the music of time: a novel. At Lady Molly's,Dance to the Music of Time,4
 Anthony,Powell,books do furnish a room,Dance to the Music of Time,4
 Anthony,Powell,Hearing secret harmonies,Dance to the Music of Time,4
 Anthony,Powell,temporary kings,Dance to the Music of Time,4
 Anthony,Powell,Casanova's Chinese Restaurant,Dance to the Music of Time,5
 Anthony,Powell,The kindly ones,Dance to the Music of Time,6
 Anthony,Powell,The valley of bones,Dance to the Music of Time,7
 Anthony,Powell,The military philosophers,Dance to the Music of Time,9
 Anthony,Francis,Frost Moon,The Skindancer Series,1
 Anthony,Burgess,A Clockwork Orange,,1
 Anthony,Destefano,"King of the Godfathers: ""Big Joey"" Massino and the Fall of the Bonanno Crime Family",,1
 Anthony,Bourdain,Kitchen confidential: adventures in the culinary underbelly,,1
 Anthony,Bourdain,Medium Raw: A Bloody Valentine to the World of Food and the People Who Cook,,1
 Anthony,Huso,The Last Page,,1
 Anthony,Horowitz,The Puffin Book of Horror Stories,,1
 Antoine de & Testot-Ferry,Saint-Exupéry,The little prince,,1
 Antoinette,May,Pilate's Wife,,1
 Antoinette van,Heugten,Saving Max,,1
 Anton,Chekhov,Selected Stories of Anton Chekov,,1
 Antonia,Fraser,Love and Louis XIV: The Women in the Life of the Sun King,,1
 Antony,Moore,The Swap,,1
 Anvil,Eric,RX for Chaos,,1
 Anya,Bast,Wicked Enchantment,Dark Magic,1
 Anya,Bast,Witch Fire,Elemental Witches,1
 Anya,Bast,Witch Blood,Elemental Witches,2
 Anya,Bast,Witch Heart,Elemental Witches,3
 Anya,Bast,Witch Fury,Elemental Witches,4
 Anya,Richards,Awaken,,1
 Aprilynne,Pike,Wings,Wings,1
 Aprilynne,Pike,Spells,Wings,2
 Apsley,Cherry-Garrard,The Worst Journey in the World,,1
 Arlene,James,A Match Made in Texas,,1
 Arlene & Noelle,Knowell,Hell Bent,,1
 Armin & George,Shimerman,The 34th Rule,Star Trek,1999.01
 Armistead,Maupin,Mary Ann in Autumn: A Tales of the City Novel,Tales of the City,8
 Arnaldur,Indridason,Tainted Blood,Inspector Erlendur: UK Publication Order,1
 Arnaldur,Indridason,Silence of the Grave,Kriminalpolis Erlendur Sveinsson,4
 Arnaldur,Indridason,Voices,Kriminalpolis Erlendur Sveinsson,5
 Arnaldur,Indridason,The Draining Lake,Kriminalpolis Erlendur Sveinsson,6
 Arnaldur,Indridason,Arctic Chill,Kriminalpolis Erlendur Sveinsson,7
 Arnaldur,Indriðason,Operation Napoleon,,1
 Arthur,Slade,The Hunchback Assignments,The Hunchback Assignments,1
 Arthur,Herman,How the Scots invented the Modern World: the true story of how western Europe's poorest nation created our world & everything in it,,1
 Arthur,Hailey,In High Places,,1
 Arthur,Golden,Memoirs of a geisha: a novel,,1
 Arthur,Miller,The crucible: a play in four acts,,1
 Arthur,Agatston,The South Beach Diet Supercharged: Faster Weight Loss and Better Health for Life,,1
 Arthur C.,Clarke,The City and the Stars and the Sands of Mars,Against the Fall of Night,1
 Arthur C.,Clarke,2001: A Space Odyssey,Space Odyssey,1
 Arthur C.,Clarke,2010: Odyssey Two,Space Odyssey,2
 Arthur C.,Clarke,2061: Odyssey Three,Space Odyssey,3
 Arthur C.,Clarke,3001: The Final Odyssey,Space Odyssey,4
 Arthur Conan,Doyle,"The Complete Sherlock Holmes, Volume I",,1
 Arturo,Pérez-Reverte,Purity of Blood,The Adventures of Captain Alatriste,2
 Arturo,Pérez-Reverte,The Sun Over Breda,The Adventures of Captain Alatriste,3
 Arturo,Pérez-Reverte,The King's Gold,The Adventures of Captain Alatriste,4
 Arturo,Perez-Reverte,The Nautical Chart,,1
 Arturo,Perez-Reverte,The Queen of the South,,1
 Arturo,Pérez-Reverte,The Seville Communion,,1
 Arturo & Hurley,Perez-Reverte,Queen of the South,,1
 Asa,Larsson,The Blood Spilt,Rebecka Martinsson,2
 Assaf,Gavron,Almost Dead: A Novel,,1
 Audrey,Niffenegger,The time traveler's wife,,1
 Aurora Rose,Lynn,Soul Dancer,,1
 Austin,Grossman,Soon I Will Be Invincible,,1
 Ava,Gray,Skin Game,Skin,1
 Avi,Steinberg,Running the Books: The Adventures of an Accidental Prison Librarian,,1
 Ayn,Rand,Philosophy: who needs it,The Ayn Rand Library,1
 Ayn,Rand,The Early Ayn Rand: A Selection from Her Unpublished Fiction,The Ayn Rand Library,2
 Ayn,Rand,The Ayn Rand lexicon: objectivism from A to Z,The Ayn Rand Library,4
 Ayn,Rand,The Voice of Reason: Essays in Objectivist Thought,The Ayn Rand Library,5
 Ayn,Rand,Anthem,,0
 Ayn,Rand,Atlas Shrugged,,1
 Ayn,Rand,Capitalism: the unknown ideal,,1
 Ayn,Rand,For the new intellectual: the philosophy of Ayn Rand,,1
 Ayn,Rand,Introduction to objectivist epistemology,,1
 Ayn,Rand,Journals of Ayn Rand,,1
 Ayn,Rand,Return of the primitive: the anti-industrial revolution,,1
 Ayn,Rand,The art of fiction: a guide for writers and readers,,1
 Ayn,Rand,The art of nonfiction: a guide for writers and readers,,1
 Ayn,Rand,The Ayn Rand reader,,1
 Ayn,Rand,The Fountainhead,,1
 Ayn,Rand,The virtue of selfishness: a new concept of egoism,,1
 Ayn,Rand,We the Living,,1
 B. J.,Daniels,Mountain Sheriff,Cascades Concealed,1
 B. J.,Daniels,Day of Reckoning,Cascades Concealed,2
 B. J.,Daniels,Wanted Woman,Cascades Concealed,3
 B. J.,Daniels,Mystery Bride,Harlequin Intrigue,604
 B. J.,Daniels,The cowgirl in question,McCalls' Montana,1
 B. J.,Daniels,Cowboy Accomplice,McCalls' Montana,2
 B. J.,Daniels,Ambushed!,McCalls' Montana,3
 B. J.,Daniels,Secret Weapon Spouse,Miami Confidential,1
 B. J.,Daniels,When Twilight Comes,Mists of Fernhaven,1
 B. J.,Daniels,Keeping Christmas,Montana Mystique,2
 B. J.,Daniels,Big Sky Standoff,Montana Mystique,3
 B. J.,Daniels,The Agent's Secret Child,Texas Confidential,2
 B. J.,Daniels,A woman with a mystery,,1
 B. J.,Daniels,Intimate Secrets,,1
 B. J.,Daniels,Love at First Sight,,1
 B. J.,Daniels,Premeditated Marriage,,1
 B. J.,Daniels,The Masked Man,,1
 B. K.,Evenson,Dead Space: Martyr,,1
 B. L.,Newport,"Reapers, Inc.- Brigit's Cross",Brigit Malone,1
 B. V.,Larson,MECH,,1
 Banks,Maya,The Darkest Hour,The Kelly Series,1
 Barack,Obama,The Audacity of Hope: Thoughts on Reclaiming the American Dream,,1
 Barb,Hendee,Blood Memories,Vampire Memories,1
 Barb,Hendee,Hunting Memories,Vampire Memories,2
 Barb & Hendee,Hendee,Dhampir,Saga of the Noble Dead,1
 Barb & Hendee,Hendee,Thief of Lives,Saga of the Noble Dead,2
 Barb & Hendee,Hendee,Sister of the Dead,Saga of the Noble Dead,3
 Barb & Hendee,Hendee,Traitor to the Blood,Saga of the Noble Dead,4
 Barb & Hendee,Hendee,Rebel Fay,Saga of the Noble Dead,5
 Barb & Hendee,Hendee,Child of a Dead God,Saga of the Noble Dead,6
 Barb & Hendee,Hendee,In Shade and Shadow,Saga of the Noble Dead,7
 Barb & Hendee,Hendee,Through Stone and Sea,Saga of the Noble Dead,8
 Barbara,McMahon,Accidentally the Sheikh's Wife,Jewels of the Desert,1
 Barbara,Bretton,Laced with Magic,Sugar Maple,1
 Barbara,Campbell,Bloodstone,Trickster's Game,2
 Barbara,Quick,A Golden Web,,1
 Barbara,Ehrenreich,Bright-sided: how the relentless promotion of positive thinking has undermined America,,1
 Barbara,O'Neal,The Lost Recipe for Happiness,,1
 Barbara,Kingsolver,The Poisonwood Bible,,1
 Barbara Wertheim,Tuchman,The Guns of August,,1
 Baron & Zaitsev,Schwartz,"High Performance MySQL, 2nd Edition",,1
 Barry,Maitland,The Marx Sisters: A Kathy Kolla and David Brock Mystery,Brock And Kolla,1
 Barry,Hughart,Bridge of Birds,Chronicles of Master Li and Number Ten Ox,1
 Barry,Hughart,The Story of the Stone,Chronicles of Master Li and Number Ten Ox,2
 Barry,Hughart,Eight skilled gentlemen,Chronicles of Master Li and Number Ten Ox,3
 Barry,Edelstein,Bardisms,,1
 Barry,Unsworth,Land of Marvels,,1
 Beatrix,Potter,The tale of Peter Rabbit,Peter Rabbit,1
 Becca,Fitzpatrick,"Hush, Hush",,1
 Ben,Kane,The Forgotten Legion,Forgotten Legion Chronicles,1
 Ben,Kane,The Silver Eagle,Forgotten Legion Chronicles,2
 Ben,Kane,The Road to Rome: A Forgotten Legion Chronicle,Forgotten Legion Chronicles,3
 Ben,Horton,Monster Republic,Monster Republic,1
 Ben,Goldacre,Bad science,,1
 Ben,Sherwood,Charlie St. Cloud,,1
 Ben,Macintyre,Operation Mincemeat: How a Dead Man and a Bizarre Plan Fooled the Nazis and Assured an Allied Victory,,1
 Ben,Sherwood,The Man Who Ate the 747,,1
 Ben H. & Austen,Winters,Sense and Sensibility and Sea Monsters,,1
 Benjamin,Black,Christine Falls,Quirke,1
 Benjamin,Black,The Silver Swan,Quirke,2
 Benjamin,Black,Elegy for April,Quirke,3
 Benjamin,Curt,The Prince of Shadow,Seven Brothers,1
